title,project contact,affiliation,subject,source,keyword,domain,abstract,link
"An open-label, multi-centre, randomised controlled trial to assess the efficacy, safety and utility of automated insulin delivery (AID) in people with type 2 diabetes and sub-optimal glycaemia undergoing haemodialysis",Lalantha Leelarathna,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR207915),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR207915%22
PREPARE for Health: Prison REsilience Planning And Response to Environmental Extremes for Health,Dawn-Marie Walker,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR505516),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR505516%22
Drone Delivery of Automated External Defibrillators to Lay Users (DAEDALUS): A proof of concept study,Scott Munro,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR208149),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR208149%22
Co-Designing a Culturally-Sensitive Parenting Support Program for Refugee and Asylum-Seeking Parents of Children Under 5 Living in Resource-Limited Settings (PSP-REFUGEE),Monica Lakhanpaul,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR208364),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR208364%22
Using participatory action research and theory of change to integrate depression care services at rural primary health centres in India: a cluster-randomized controlled implementation-effectiveness study,Ameya Bondre,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR158115),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR158115%22
Immersive Radiotherapy Immobilisation System (IRIS): Development and evaluation,Pete Bridge,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR208211),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR208211%22
"Integrated, co-developed intervention for detection and management of cardiometabolic risk factors in older Indians (CARDIO-INDIA)",Kamlesh Khunti,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR206988),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR206988%22
A realist review examining the effects of regular contact with an adult social worker on wellbeing and quality of life and key outcomes for people using services,Olamide Todowede,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR177359),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR177359%22
Soro-tymp: Soft Robot Assistance In Transtympanic Drug Delivery,Lukas Lindenroth,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR207500),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR207500%22
Increasing inclusivity in Feeling Safer: improving access to an online therapy for persecutory delusions in psychosis,S. Louise Isham,N/A,,National Institute for Health Research (NIHR) (Grant ID: NIHR208307),delivery system,Basic Search,No abstract description provided.,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR208307%22
