title,project contact,affiliation,subject,source,keyword,domain,abstract,link
Development and in-vitro validation of an ultrasensitive multianalyte biosensing patch for real-time monitoring of brain injury and infection severity,"<a href=""https://orcid.org/0000-0001-6098-2331"" target=""_blank"" rel=""noopener noreferrer"">Greta Wood</a>",University of Liverpool,,National Institute for Health Research (NIHR),biosensor,Basic Search,"Innovation description Wearable and wireless ultrasensitive multianalyte biosensing device to monitor brain injury and infection severity Biomarkers: Tau, glial fibrillary acidic protein (GFAP),…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR208981%22
Synthetic genomics for microbiome reprogramming,Wesley Robertson,MRC Laboratory of Molecular Biology,,Medical Research Council,biosensor,Basic Search,"The Robertson lab develops genome synthesis tools for non-model bacteria, with the ultimate aim of reprogramming the microbiome to study and modulate human health. These aims build on the total…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22MC_UP_1201/34%22
TEXAS: Towards next-generation AMR surveillance: Assessment of novel technologies with high-throughput and multiplexing potential,Marcos Quintela-Baluja,Durham University,,Medical Research Council,biosensor,Basic Search,"Various genetic approaches are used for AMR surveillance, but there are few harmonized, high-throughput platforms that target clinically relevant markers that indicate AMR mobility and multidrug…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22MR/Z000017/1%22
Catching external body motions for inspecting internal body biomarkers,Li,Wenjian Li,,Dutch Research Council (NWO),biosensor,Basic Search,"Metabolic biomarkers are closely associated with various diseases. Wearable sweat biosensors capable of continuously, non-invasively and wirelessly monitoring of metabolite fluctuations hold…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22019.232EN.012%22
"Senescence-detecting, urine-based nanobiosensor for early detection of lung cancer",Ljiljana Fruk,UNIVERSITY OF CAMBRIDGE,,Cancer Research UK,biosensor,Basic Search,"Early detection of cancer requires cost-effective tools and strategies that enable detection in vivo. As a hallmark of cancer, senescence, a cellular response to damage and oncogenic stress, has been…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22EDDPMA-May23/100051%22
Regulatory Planning and Quality Management System for Asclepius MedTech Ltd's Remote Digital Tool for use in Surgical Pre-Assessment,Michael Morgan-Curran,ASCLEPIUS MEDTECH LTD,,National Institute for Health Research (NIHR),biosensor,Basic Search,"Around 5 million surgical procedures are performed in the NHS each year1. During 2020-21 the number of surgical procedures fell by 1.5 million due to the COVID pandemic, adding to the record high of…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR205910%22
Shining light on growth and survival decisions in bacteria,van Heerden,VUA FALW,,Dutch Research Council (NWO),biosensor,Basic Search,"Strikingly, a single molecule, named ppGpp, orchestrates decisions on growth and survival across bacterial species. Deciphering how this molecule encodes information in real-time and in living cells…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22OCENW.XS22.3.032%22
RNA processing and gene regulation,"<a href=""https://orcid.org/0000-0001-8025-6169"" target=""_blank"" rel=""noopener noreferrer"">Javier Caceres</a>",University of Edinburgh,,Medical Research Council,biosensor,Basic Search,"Gene expression is extensively regulated at the post-transcriptional level, and this adds complexity to the human transcriptome and proteome. RNAs associate with RNA-binding proteins (RBPs) to form…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22MC_UU_00035/5%22
Dynamic integration of ingestive behaviours and homeostasis by hypothalamo-neurohypophysial system glucagon like peptide 1 receptors,"<a href=""https://orcid.org/0000-0003-2946-0353"" target=""_blank"" rel=""noopener noreferrer"">David Murphy</a>",University of Bristol,,Medical Research Council,biosensor,Basic Search,This proposal aims to characterise the exact physiological roles of gut peptide receptor GLP-1R in the hypothalamo-neurohypophysial system (HNS) of female and male rats. We will use adeno-associated…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22MR/W028999/1%22
L-Aspartate signalling in the brain,Nicholas Dale,University of Warwick,,Medical Research Council,biosensor,Basic Search,"By developing a biosensor selective for L-Asp over L-Glu, we have demonstrated electrically evoked, Ca2+ dependent release of L-Asp in the hippocampus. The L-Asp signal can be enhanced via blockade…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22MR/W028964/1%22
Feasibility and acceptability of a remote community exercise and lifestyle change intervention in patients with smaller abdominal aortic aneurysms,"<a href=""https://orcid.org/0000-0001-5539-3049"" target=""_blank"" rel=""noopener noreferrer"">Gerard Stansby</a>",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,,National Institute for Health Research (NIHR),setup,Basic Search,"This feasibility study aims to determine whether a six-month remote, community-based exercise and lifestyle program, in addition to usual care, can be implemented effectively for both men and women…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR209270%22
Listening with Unilateral versus bilateral Cochlear Implants in Adults LUCIA: A randomised controlled trial comparing simultaneous bilateral versus unilateral cochlear implantation in adults with post-lingual severe-profound hearing loss,"<a href=""https://orcid.org/0000-0001-8147-1549"" target=""_blank"" rel=""noopener noreferrer"">Matthew Smith</a>",UNIVERSITY OF CAMBRIDGE,,National Institute for Health Research (NIHR),setup,Basic Search,An estimated 1.2 million UK adults cannot hear normal conversations due to hearing loss. Hearing aids make sounds louder and can help people with mild to moderate loss. However those with severe to…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR171615%22
HOLO-AIM : Holographic surgical guidance using Artificial Intelligence and Mixed reality for safer and more efficient Surgery,"<a href=""https://orcid.org/0000-0002-3254-4817"" target=""_blank"" rel=""noopener noreferrer"">Myles Smith</a>",The Royal Marsden NHS Foundation Trust,,National Institute for Health Research (NIHR),setup,Basic Search,Research question Can artificial intelligence and computer vision be used to project reliable mixed reality visualisation of personalised anatomy onto the patient body during surgery with sufficient…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR209444%22
INGEST: dIscontinuing or continuiNG thickEned fluidS Trial,"<a href=""https://orcid.org/0000-0003-3924-649X"" target=""_blank"" rel=""noopener noreferrer"">Lindsey Collins</a>",University of Bradford,,National Institute for Health Research (NIHR),setup,Basic Search,THE PROBLEM: Dysphagia is the medical term for difficulty swallowing. It can be mild causing for example a feeling that food is sticking in the throat or it can be severe potentially leading to…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR170347%22
Randomised Placebo Controlled Trial of Intravenous Iron for Improving Physical Performance and Quality of Life in patients with Chronic Limb-Threatening Ischaemia and Anaemia Following Revascularisation,"<a href=""https://orcid.org/0000-0002-6036-5760"" target=""_blank"" rel=""noopener noreferrer"">Sandip Nandhra</a>",Newcastle University,,National Institute for Health Research (NIHR),setup,Basic Search,Research Question: Does giving iron through a drip to patients with serious leg artery problems and low iron levels after surgery help them get stronger?Background: Poor blood flow in the legs often…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR169106%22
Unraveling the network that controls the fate of RNA Polymerase II during early elongation. (STOP-OR-GO),"<a href=""https://orcid.org/0000-0003-1743-6428"" target=""_blank"" rel=""noopener noreferrer"">Hanneke Vlaming</a>",Utrecht University,,European Research Council,setup,Basic Search,"The repertoire of messenger RNAs (mRNAs) in a cell dictates cell identity and function. Therefore, mRNA expression is tightly controlled. A previously underappreciated regulatory step is early…",https://doi.org/10.3030/101221791
Mapping the therapeutic potential of targeting endothelial cell dysfunction in Multiple Sclerosis,Hazel Allardyce,University of Glasgow,,Chief Scientist Office,setup,Basic Search,"Background Multiple sclerosis (MS) is a debilitating condition of the brain and spinal cord, that affects approximately 17,000 people in Scotland. It is the most common cause of non-traumatic…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22EPD/25/45%22
Decoding multimodal TBI markers for optimized recovery (NeuroVitalizer),"<a href=""https://orcid.org/0000-0002-9623-106X"" target=""_blank"" rel=""noopener noreferrer"">Theresa Rienmüller</a>",Graz University of Technology,,European Research Council,setup,Basic Search,"Traumatic brain injury (TBI) occurs when mechanical forces shake the brain and disrupt normal brain function, affecting biological processes like cellular, molecular, and electrical functions. These…",https://doi.org/10.3030/101220001
Supracondylar elbow fracture management in children - the SUPRAMAN study,"<a href=""https://orcid.org/0000-0002-1323-8646"" target=""_blank"" rel=""noopener noreferrer"">Stephen Gwilym</a>",University of Oxford,,National Institute for Health Research (NIHR),setup,Basic Search,Broken bones in children are very common with breaks just above the elbow being the most common type of bone injury in children. Some of these breaks are only minor (cracks) whilst others are…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR170552%22
A phase 2 randomised clinical trial to evaluate the efficacy of anakinra in patients with the acute respiratory distress syndrome (AnakARDS),"<a href=""https://orcid.org/0000-0002-6201-805X"" target=""_blank"" rel=""noopener noreferrer"">Andrew Boyle</a>",The Queen's University of Belfast,,National Institute for Health Research (NIHR),setup,Basic Search,Lung failure is a common problem for patients admitted to the intensive care unit. Many of these patients may suffer longer term ill health or die. Most of them need a breathing-support machine in…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR168885%22
Cnidarian chimeras as a model for interspecies cell exchange,"<a href=""https://orcid.org/0000-0002-4489-2990"" target=""_blank"" rel=""noopener noreferrer"">Helen Ruth Horkan</a>",University of Exeter,,Wellcome Trust,platform,Basic Search,"How cells contribute to tissues across species barriers is a fundamental question in development, evolution and human regenerative biology. Vertebrate models of interspecies chimerism are limited by…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22336033%22
Exploring the intersection between environmental factors and the risk of malignant ventricular arrhythmias,Cesario Pancinha,University of Edinburgh,,Chief Scientist Office,platform,Basic Search,"People with acquired brain injury (ABI) - damage to the brain caused by events such as trauma, stroke, or illness any time after birth - often face cognitive challenges with concentration, memory,…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22CAF/NM/26/70%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0001-7708-0799"" target=""_blank"" rel=""noopener noreferrer"">shamsuddeen muhammad</a>",Imperial College London,,Wellcome Trust,platform,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0002-9480-4813"" target=""_blank"" rel=""noopener noreferrer"">Isaac Olufadewa</a>",Slum and Rural Health Initiative,,Wellcome Trust,platform,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0003-4450-1942"" target=""_blank"" rel=""noopener noreferrer"">Ayodele Jegede</a>",University of Ibadan,,Wellcome Trust,platform,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0001-8707-1773"" target=""_blank"" rel=""noopener noreferrer"">Miracle Adesina</a>",Slum and Rural Health Initiative,,Wellcome Trust,platform,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,OLUGBENGA OWOEYE,"Federal Neuro-Psychiatric Hospital, Yaba",,Wellcome Trust,platform,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0001-7640-9898"" target=""_blank"" rel=""noopener noreferrer"">MUSA AYANWALE</a>",Slum and Rural Health Initiative,,Wellcome Trust,platform,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,Ezekiel Oladejo,Slum and Rural Health Initiative,,Wellcome Trust,platform,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
Ultra-Fast Brillouin Light-Sheet Microscopy for Real-Time Mechanical Imaging in Biology (BRIGHT),"<a href=""https://orcid.org/0000-0003-3366-4703"" target=""_blank"" rel=""noopener noreferrer"">Robert PREVEDEL</a>",European Molecular Biology Laboratory (EMBL),,European Research Council,platform,Basic Search,"Understanding the mechanical properties of biological systems is crucial for unraveling key processes in development, disease progression, and cellular function. This ERC Proof-of-Concept project…",https://doi.org/10.3030/101289150
Targeted Pathogen Degradation and its Synergy with Antiviral Immunity,"<a href=""https://orcid.org/0000-0003-2131-0334"" target=""_blank"" rel=""noopener noreferrer"">Leo James</a>",UKRI-MRC,,Wellcome Trust,tool,Basic Search,"TRIM21 is an intracellular antibody receptor and E3 ubiquitin ligase that mediates the rapid degradation of antibody-bound pathogens, thereby preventing infection. By recognising antibodies, TRIM21…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22339878%22
"Rare variations, common technology: Newborn screening, public health governance, and the mainstreaming of whole genome sequencing in the UK","<a href=""https://orcid.org/0000-0001-8093-3596"" target=""_blank"" rel=""noopener noreferrer"">Elizabeth Mayes</a>",University of Edinburgh,,Wellcome Trust,tool,Basic Search,"This project examines the advancing integration of biomedical research assets into healthcare services in the UK, through the lens of England’s genomic newborn screening (gNBS) initiative, the…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22336789%22
"Understanding contemporary adult vaping pathways for policy, practice and public stakeholders: a qualitative study",Alice Maclean,University of Stirling,,Chief Scientist Office,tool,Basic Search,Background: Multiple Long-term Conditions (MLTCs) result in increased mortality and health care utilisation (1). MLTCs are more prevalent in communities experiencing Socioeconomic Disadvantage (SED)…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22HIPS/25/18%22
Monitoring Eye gaze and pupillometry for Reading and Language Integration in Neurodevelopment (MERLIN),"<a href=""https://orcid.org/0000-0002-1056-3398"" target=""_blank"" rel=""noopener noreferrer"">Alessandra Sciutti</a>",Italian Institute of Technology,,European Research Council,tool,Basic Search,"Reading difficulties remain one of the most underestimated barriers to education and career opportunities. While dyslexia and other Specific Learning Disorders are usually identified in childhood,…",https://doi.org/10.3030/101292842
"Discovering new genes and developing a diagnostic tool for lipodystrophy, a step towards understanding lean type 2 diabetes","<a href=""https://orcid.org/0000-0002-9240-8104"" target=""_blank"" rel=""noopener noreferrer"">Kashyap Patel</a>",University of Exeter,,Diabetes UK,tool,Basic Search,Some people preferentially store fat around internal organs such as the pancreas rather than under the skin (known as lipodystrophy or unfavourable adiposity). This harmful fat pattern can cause…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%2225/0006929%22
Personalised prevention of breast cancer in people at moderate or high risk– a new approach to optimising prevention in primary care.,"<a href=""https://orcid.org/0000-0002-2479-7283"" target=""_blank"" rel=""noopener noreferrer"">Julia Hippisley-Cox</a>",Barts Health NHS Trust,,National Institute for Health Research (NIHR),tool,Basic Search,"Background: Individuals at moderate-to-high-risk of breast cancer may benefit from preventive interventions such as anti-oestrogen medication or risk-reducing surgery for those at highest-risk, as…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22NIHR208880%22
Biological Embodiments of Societal Complexities: Sociocultural Determinants of Human Skeletal Health,"<a href=""https://orcid.org/0000-0001-6113-1950"" target=""_blank"" rel=""noopener noreferrer"">Jonny Geber</a>",University of Edinburgh,,Wellcome Trust,tool,Basic Search,"What is the social skeleton? This project investigates how social factors influence human health and biology, and how they are “embodied” in the human skeleton. Using a holistic interdisciplinary…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22341977%22
Tuning EARS for the Future: Reframing Engagement in (Genomic) Science,"<a href=""https://orcid.org/0000-0003-0384-8376"" target=""_blank"" rel=""noopener noreferrer"">Joy Zhang</a>",University of Kent,,Wellcome Trust,tool,Basic Search,This project reorients public engagement away from a narrow fixation on stakeholders’ views and attitudes by developing a novel EARS framework to track the social distance between diverse publics and…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22345950%22
"External validation, enhancement and assessment of implementation potential of a risk prediction tool for predicting long-term pelvic floor dysfunction (PFD) in women after childbirth (EVERLONG)","<a href=""https://orcid.org/0000-0002-9741-9160"" target=""_blank"" rel=""noopener noreferrer"">Suzanne Hagen</a>",Glasgow Caledonian University,,Chief Scientist Office,tool,Basic Search,The proposed programme has two main goals: improving cancer outcomes and helping patients live well after treatment. 1. Creating the West of Scotland Bladder Cancer Trials Unit. I will establish a…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22HIPS/25/26%22
Culturally Aligned Generative AI to Support Para-Counselors in Low-Resource Community Mental Health Settings,"<a href=""https://orcid.org/0000-0003-2452-0687"" target=""_blank"" rel=""noopener noreferrer"">Syed Ishtiaque Ahmed</a>",University of Toronto,,Wellcome Trust,tool,Basic Search,"This project aims to develop culturally grounded generative AI tools to support para-counselors in Bangladesh who provide front-line mental health support for anxiety, depression, and psychosis.…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332013%22
"Data-driven Representation Learning for Equitable, Personalised Care in Multiple Sclerosis: DREAMS","<a href=""https://orcid.org/0000-0002-6652-3512"" target=""_blank"" rel=""noopener noreferrer"">Arman Eshaghi</a>",University College London,,Wellcome Trust,technology,Basic Search,"Most hospital data for chronic conditions like multiple sclerosis (MS)—from narrative notes to medical images—is recorded in formats that defy systematic analysis, leaving it underused. This…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22336677%22
Frontier Cats: Reimagining Multispecies Governance and Care Ethics beyond Post-politics (FRONTCAT),"<a href=""https://orcid.org/0000-0002-5964-0489"" target=""_blank"" rel=""noopener noreferrer"">Pablo Alonso Gonzalez</a>",Spanish National Research Council (CSIC),,European Research Council,technology,Basic Search,"As we face the sixth mass extinction and unprecedented socio-ecological challenges, cats—both cherished companions and devastating predators—stand at the center of escalating tensions between…",https://doi.org/10.3030/101230500
"Rare variations, common technology: Newborn screening, public health governance, and the mainstreaming of whole genome sequencing in the UK","<a href=""https://orcid.org/0000-0001-8093-3596"" target=""_blank"" rel=""noopener noreferrer"">Elizabeth Mayes</a>",University of Edinburgh,,Wellcome Trust,technology,Basic Search,"This project examines the advancing integration of biomedical research assets into healthcare services in the UK, through the lens of England’s genomic newborn screening (gNBS) initiative, the…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22336789%22
Exploring the intersection between environmental factors and the risk of malignant ventricular arrhythmias,Cesario Pancinha,University of Edinburgh,,Chief Scientist Office,technology,Basic Search,"People with acquired brain injury (ABI) - damage to the brain caused by events such as trauma, stroke, or illness any time after birth - often face cognitive challenges with concentration, memory,…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22CAF/NM/26/70%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0001-7708-0799"" target=""_blank"" rel=""noopener noreferrer"">shamsuddeen muhammad</a>",Imperial College London,,Wellcome Trust,technology,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0002-9480-4813"" target=""_blank"" rel=""noopener noreferrer"">Isaac Olufadewa</a>",Slum and Rural Health Initiative,,Wellcome Trust,technology,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0003-4450-1942"" target=""_blank"" rel=""noopener noreferrer"">Ayodele Jegede</a>",University of Ibadan,,Wellcome Trust,technology,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0001-8707-1773"" target=""_blank"" rel=""noopener noreferrer"">Miracle Adesina</a>",Slum and Rural Health Initiative,,Wellcome Trust,technology,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,OLUGBENGA OWOEYE,"Federal Neuro-Psychiatric Hospital, Yaba",,Wellcome Trust,technology,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
GENSCORE Project: Leveraging Generative AI to adapt and enhance the scoring of widely used mental health assessment tools in low-resource context,"<a href=""https://orcid.org/0000-0001-7640-9898"" target=""_blank"" rel=""noopener noreferrer"">MUSA AYANWALE</a>",Slum and Rural Health Initiative,,Wellcome Trust,technology,Basic Search,"In Nigeria where about 250 psychiatrists serve over 220 million people, contextually accurate mental health screening tools are not just beneficial, they are essential. Our GENSCORE Project aims to…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332695%22
Dissecting the nuclear supervision of mitochondrial DNA transmission and function,"<a href=""https://orcid.org/0000-0002-2705-1970"" target=""_blank"" rel=""noopener noreferrer"">Hansong Ma</a>",University of Birmingham,,Wellcome Trust,high throughput,Basic Search,"Eukaryotic cells rely on multiple copies of mitochondrial DNA (mtDNA) to support essential cellular activities. During development and ageing, mutations can arise in some mtDNA copies, resulting in…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22337918%22
Cancer prevention by the ageing microbiome,"<a href=""https://orcid.org/0000-0002-3696-4843"" target=""_blank"" rel=""noopener noreferrer"">Filipe Cabreiro</a>",Imperial College London,,Cancer Research UK,high throughput,Basic Search,"Background Over the past 60 years, global life expectancy has increased by more than 20 years, yet age-related diseases like cancer remain a leading cause of mortality. Colorectal cancer (CRC) is…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22PRCBTP-Nov25/100014%22
