title,project contact,affiliation,subject,source,keyword,domain,abstract,link
"Improving throughcare and reducing drug-related harms for men with opioid dependence leaving prison in Scotland: a mixed methods exploration of needs, service gaps, and transition",Laura Wahlberg,University of Stirling,,Chief Scientist Office,diagnostic,Basic Search,"Tailored support after being diagnosed with dementia, known as Post Diagnostic Support (PDS), is recognised to be helpful for people living with dementia and those who support them. Scottish…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22CAF/NM/26/72%22
"Discovering new genes and developing a diagnostic tool for lipodystrophy, a step towards understanding lean type 2 diabetes","<a href=""https://orcid.org/0000-0002-9240-8104"" target=""_blank"" rel=""noopener noreferrer"">Kashyap Patel</a>",University of Exeter,,Diabetes UK,diagnostic,Basic Search,Some people preferentially store fat around internal organs such as the pancreas rather than under the skin (known as lipodystrophy or unfavourable adiposity). This harmful fat pattern can cause…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%2225/0006929%22
Drivers and Barriers: Understanding AMR Gene Transfer in MRSA Biofilms and Colonisation,"<a href=""https://orcid.org/0000-0003-4270-8632"" target=""_blank"" rel=""noopener noreferrer"">Mais Maree</a>",Royal Veterinary College,,Wellcome Trust,diagnostic,Basic Search,"Antimicrobial resistance (AMR) is one of the greatest challenges to global health. Among resistant pathogens, methicillin-resistant Staphylococcus aureus (MRSA) remains a leading cause of AMR-related…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22338375%22
Ultra-Fast Brillouin Light-Sheet Microscopy for Real-Time Mechanical Imaging in Biology (BRIGHT),"<a href=""https://orcid.org/0000-0003-3366-4703"" target=""_blank"" rel=""noopener noreferrer"">Robert PREVEDEL</a>",European Molecular Biology Laboratory (EMBL),,European Research Council,diagnostic,Basic Search,"Understanding the mechanical properties of biological systems is crucial for unraveling key processes in development, disease progression, and cellular function. This ERC Proof-of-Concept project…",https://doi.org/10.3030/101289150
Tuning EARS for the Future: Reframing Engagement in (Genomic) Science,"<a href=""https://orcid.org/0000-0003-0384-8376"" target=""_blank"" rel=""noopener noreferrer"">Joy Zhang</a>",University of Kent,,Wellcome Trust,diagnostic,Basic Search,This project reorients public engagement away from a narrow fixation on stakeholders’ views and attitudes by developing a novel EARS framework to track the social distance between diverse publics and…,https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22345950%22
Culturally Aligned Generative AI to Support Para-Counselors in Low-Resource Community Mental Health Settings,"<a href=""https://orcid.org/0000-0003-2452-0687"" target=""_blank"" rel=""noopener noreferrer"">Syed Ishtiaque Ahmed</a>",University of Toronto,,Wellcome Trust,diagnostic,Basic Search,"This project aims to develop culturally grounded generative AI tools to support para-counselors in Bangladesh who provide front-line mental health support for anxiety, depression, and psychosis.…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332013%22
Culturally Aligned Generative AI to Support Para-Counselors in Low-Resource Community Mental Health Settings,Joysree Debi,Sajida Foundation,,Wellcome Trust,diagnostic,Basic Search,"This project aims to develop culturally grounded generative AI tools to support para-counselors in Bangladesh who provide front-line mental health support for anxiety, depression, and psychosis.…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332013%22
Culturally Aligned Generative AI to Support Para-Counselors in Low-Resource Community Mental Health Settings,Abu Md Akteruzzaman Bhuiyan,mPower Social Enterprises Limited,,Wellcome Trust,diagnostic,Basic Search,"This project aims to develop culturally grounded generative AI tools to support para-counselors in Bangladesh who provide front-line mental health support for anxiety, depression, and psychosis.…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332013%22
Culturally Aligned Generative AI to Support Para-Counselors in Low-Resource Community Mental Health Settings,"<a href=""https://orcid.org/0000-0003-4106-218X"" target=""_blank"" rel=""noopener noreferrer"">Helal Ahmed</a>",Faridpur Medical College,,Wellcome Trust,diagnostic,Basic Search,"This project aims to develop culturally grounded generative AI tools to support para-counselors in Bangladesh who provide front-line mental health support for anxiety, depression, and psychosis.…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332013%22
Culturally Aligned Generative AI to Support Para-Counselors in Low-Resource Community Mental Health Settings,"<a href=""https://orcid.org/0000-0001-6797-7826"" target=""_blank"" rel=""noopener noreferrer"">Farig Sadeque</a>",BRAC University,,Wellcome Trust,diagnostic,Basic Search,"This project aims to develop culturally grounded generative AI tools to support para-counselors in Bangladesh who provide front-line mental health support for anxiety, depression, and psychosis.…",https://europepmc.org/grantfinder/grantdetails?query=gid%3A%22332013%22
